symptom_onset,local_guangdong,import_from_china_other,import_other,all
2020-01-01,0,2,0,2
2020-01-03,0,1,0,1
2020-01-04,0,3,0,3
2020-01-05,0,1,0,1
2020-01-06,0,1,0,1
2020-01-07,0,1,0,1
2020-01-08,1,1,0,2
2020-01-09,0,2,0,2
2020-01-10,1,2,0,3
2020-01-11,0,6,0,6
2020-01-12,0,5,0,5
2020-01-13,1,6,0,7
2020-01-14,1,4,0,5
2020-01-15,1,6,0,7
2020-01-16,2,12,0,14
2020-01-17,1,14,0,15
2020-01-18,3,12,0,15
2020-01-19,9,22,0,31
2020-01-20,3,41,0,44
2020-01-21,11,41,0,52
2020-01-22,12,67,0,79
2020-01-23,21,67,0,88
2020-01-24,20,68,0,88
2020-01-25,13,56,0,69
2020-01-26,19,72,0,91
2020-01-27,25,85,0,110
2020-01-28,12,71,0,83
2020-01-29,12,54,0,66
2020-01-30,14,50,0,64
2020-01-31,10,35,0,45
2020-02-01,17,37,0,54
2020-02-02,11,28,0,39
2020-02-03,12,20,0,32
2020-02-04,17,23,0,40
2020-02-05,9,23,0,32
2020-02-06,6,9,0,15
2020-02-07,4,13,0,17
2020-02-08,9,13,0,22
2020-02-09,6,7,0,13
2020-02-10,6,8,0,14
2020-02-11,8,4,0,12
2020-02-12,7,6,0,13
2020-02-13,14,6,0,20
2020-02-14,6,2,0,8
2020-02-15,1,0,0,1
2020-02-16,1,3,0,4
2020-02-17,1,1,0,2
2020-02-20,1,1,0,2
2020-02-21,4,0,0,4
2020-02-22,1,0,0,1
2020-02-23,2,0,0,2
2020-02-26,0,1,0,1
2020-02-28,0,1,0,1
2020-02-29,0,0,1,1
2020-03-01,1,0,0,1
2020-03-02,0,0,1,1
2020-03-03,0,0,1,1
2020-03-05,0,0,1,1
2020-03-09,0,0,2,2
2020-03-10,0,0,3,3
2020-03-11,0,0,2,2
2020-03-12,0,0,2,2
2020-03-13,0,0,0,0
2020-03-14,0,0,3,3
2020-03-15,0,0,4,4
2020-03-16,0,0,2,2
2020-03-17,0,0,6,6
2020-03-18,0,0,6,6
2020-03-19,0,0,4,4